frase,situacao
inchaço forte nas pernas há 2 dias,baixo risco
Apresentei repentina formigamento seguida de rigidez muscular na lombar,alto risco
falta de ar contínua nos olhos de manhã,alto risco
Apresentei contínua inchaço junto com aperto no abdômen,alto risco
Sensação de rigidez muscular moderada ao levantar,baixo risco
Sensação de dor no peito aguda há uma semana,alto risco
Sinto formigamento associada a perda de equilíbrio nas pernas à noite,baixo risco
Sinto inchaço e falta de ar nas costas após esforço,alto risco
Tenho moderada dor no peito na cabeça de manhã,alto risco
Tenho moderada dor de cabeça na coluna após comer,alto risco
Apresentei persistente inchaço seguida de perda de visão na lombar,alto risco
Apresentei forte perda de visão com confusão mental nas costas,alto risco
Sensação de coceira forte após comer,baixo risco
Tenho intermitente fraqueza na coluna à noite,alto risco
Tenho repentina aperto nas pernas à noite,baixo risco
Sinto desconforto associada a confusão mental no peito ao levantar,alto risco
Apresentei intermitente cansaço com confusão mental nos pés,alto risco
Sinto febre junto com palpitação na garganta há uma semana,alto risco
Sinto febre e dor de cabeça nos braços ao levantar,baixo risco
dor de cabeça moderada na garganta durante a noite,baixo risco
Sensação de suor excessivo aguda durante a noite,baixo risco
Sensação de dor de cabeça aguda há uma semana,baixo risco
Tenho aguda dor no peito no peito após esforço,baixo risco
Sensação de inchaço contínua ao acordar,alto risco
Apresentei intensa calafrio com náusea no abdômen,baixo risco
Apresentei leve desconforto seguida de tosse na garganta,alto risco
inquietação moderada no abdômen durante o repouso,alto risco
Sensação de tosse leve durante a noite,alto risco
Sinto cansaço junto com palpitação nas pernas há uma semana,baixo risco
confusão mental aguda na cabeça durante a noite,baixo risco
Apresentei persistente dor associada a coceira nas mãos,alto risco
dor abdominal aguda na cabeça à noite,baixo risco
Sinto suor excessivo seguida de falta de ar na coluna há 2 dias,alto risco
Sensação de coceira intermitente ao levantar,baixo risco
Sensação de palpitação forte de manhã,alto risco
Apresentei intermitente tosse e dor nos pés,baixo risco
Apresentei contínua calafrio com formigamento nas pernas,baixo risco
inquietação leve nos pés há uma semana,alto risco
rigidez muscular leve nos pés durante a noite,alto risco
Tenho repentina perda de equilíbrio nos pés de manhã,baixo risco
Sensação de dor aguda há 2 dias,baixo risco
Sensação de náusea intermitente de manhã,alto risco
Tenho leve dor no peito nas pernas ao levantar,alto risco
Sinto náusea seguida de dor nos olhos durante o repouso,baixo risco
Tenho persistente fraqueza nos pés ao acordar,baixo risco
Sensação de tontura intensa após esforço,baixo risco
Sensação de coceira leve durante o repouso,alto risco
Sinto perda de equilíbrio com tosse nos pés há 2 dias,alto risco
falta de ar crônica no abdômen após comer,alto risco
Sensação de dor forte à noite,alto risco
Sinto desconforto associada a dor abdominal na lombar há uma semana,baixo risco
Apresentei contínua tosse associada a fraqueza nas pernas,baixo risco
Tenho crônica dor de cabeça nos braços após esforço,baixo risco
Sinto dor junto com dor abdominal nas mãos há 2 dias,alto risco
formigamento persistente nos olhos após esforço,alto risco
Tenho contínua febre no abdômen há 2 dias,baixo risco
rigidez muscular repentina nos pés à noite,baixo risco
Apresentei aguda aperto associada a calafrio nas pernas,baixo risco
Sinto palpitação e suor excessivo no peito há uma semana,baixo risco
Sinto coceira e perda de equilíbrio no peito de manhã,baixo risco
perda de equilíbrio crônica nos braços há uma semana,baixo risco
Sinto dor de cabeça e rigidez muscular nos olhos ao acordar,alto risco
Apresentei aguda dor no peito seguida de dor abdominal nas pernas,baixo risco
Tenho aguda inchaço nas pernas à noite,alto risco
Sensação de rigidez muscular persistente após esforço,baixo risco
confusão mental forte na lombar ao levantar,alto risco
tontura contínua na lombar há uma semana,baixo risco
Sinto aperto com tosse nas pernas após esforço,baixo risco
perda de visão contínua na garganta ao levantar,alto risco
Tenho crônica dor abdominal na lombar à noite,baixo risco
Sinto inchaço e confusão mental nas mãos durante o repouso,baixo risco
Sensação de náusea moderada após esforço,alto risco
falta de ar persistente nos olhos durante a noite,baixo risco
Apresentei persistente rigidez muscular junto com dor de cabeça na cabeça,baixo risco
febre contínua nos pés ao levantar,baixo risco
Apresentei intensa aperto junto com dor no peito no abdômen,baixo risco
dor intermitente no abdômen há 2 dias,baixo risco
tosse contínua no abdômen ao acordar,alto risco
Sinto calafrio junto com falta de ar na lombar há uma semana,baixo risco
Apresentei persistente dor de cabeça com suor excessivo nas mãos,baixo risco
Sinto cansaço associada a palpitação nas pernas durante a noite,baixo risco
Tenho leve inquietação nas costas há uma semana,baixo risco
Tenho intensa formigamento na lombar durante a noite,alto risco
Sinto dor no peito associada a coceira nos olhos à noite,alto risco
Sinto inchaço e inquietação na lombar durante a noite,alto risco
Sinto desconforto com palpitação no peito à noite,alto risco
náusea contínua nos pés durante a noite,alto risco
Apresentei intensa dor abdominal com tosse nos pés,alto risco
febre leve na coluna à noite,baixo risco
dor intermitente nas costas ao acordar,alto risco
Tenho intensa falta de ar no abdômen após comer,alto risco
perda de visão leve no peito durante a noite,baixo risco
Sinto náusea e formigamento nas mãos após esforço,alto risco
inquietação intensa nos braços há 2 dias,alto risco
Sensação de desconforto forte após esforço,baixo risco
perda de equilíbrio moderada no abdômen ao acordar,baixo risco
Apresentei forte dor e dor abdominal na coluna,baixo risco
Apresentei intensa inchaço e formigamento nos pés,baixo risco
Sinto dor abdominal junto com perda de equilíbrio nos braços de manhã,baixo risco
Tenho crônica coceira nos olhos de manhã,alto risco
Sensação de suor excessivo contínua durante o repouso,baixo risco
Sinto perda de visão e formigamento no abdômen durante a noite,alto risco
dor contínua nas mãos ao levantar,alto risco
Apresentei persistente febre junto com inchaço nas mãos,alto risco
Sinto fraqueza junto com suor excessivo no abdômen ao acordar,alto risco
Sinto perda de visão e perda de equilíbrio na garganta de manhã,alto risco
Apresentei intermitente dor abdominal junto com cansaço nos olhos,baixo risco
Sinto náusea associada a febre no peito ao acordar,baixo risco
Sensação de aperto intensa após comer,alto risco
suor excessivo intermitente na cabeça durante o repouso,alto risco
Apresentei persistente inquietação associada a calafrio nas pernas,alto risco
Apresentei intensa suor excessivo com dor de cabeça no peito,alto risco
Tenho forte formigamento na cabeça ao acordar,alto risco
Tenho crônica suor excessivo na garganta após esforço,alto risco
Tenho leve cansaço na lombar de manhã,baixo risco
Apresentei moderada náusea junto com cansaço na cabeça,baixo risco
Tenho forte rigidez muscular nas mãos durante o repouso,baixo risco
Apresentei moderada dor no peito seguida de formigamento no peito,baixo risco
Apresentei forte dor abdominal com dor de cabeça na lombar,baixo risco
Sensação de cansaço contínua ao acordar,baixo risco
Tenho contínua perda de visão na garganta após comer,alto risco
Sinto calafrio com tontura nas mãos durante o repouso,alto risco
Tenho forte dor de cabeça no abdômen durante a noite,alto risco
tosse repentina nas pernas após esforço,alto risco
Tenho forte dor no peito no abdômen após esforço,alto risco
Tenho aguda inchaço na coluna durante o repouso,alto risco
Sensação de desconforto forte há uma semana,baixo risco
Apresentei intermitente confusão mental com náusea nos pés,baixo risco
Tenho aguda náusea nos olhos após comer,alto risco
Apresentei intermitente falta de ar e rigidez muscular nas costas,baixo risco
Apresentei persistente náusea com dor na cabeça,baixo risco
Sinto perda de equilíbrio associada a suor excessivo na coluna de manhã,baixo risco
Sensação de desconforto leve após comer,alto risco
Sinto perda de visão com cansaço nos olhos ao acordar,baixo risco
Sinto inchaço e aperto no peito à noite,baixo risco
Tenho intermitente dor abdominal na garganta de manhã,alto risco
Apresentei repentina tontura associada a perda de visão na garganta,baixo risco
formigamento moderada no peito à noite,baixo risco
Sinto tontura junto com formigamento no abdômen de manhã,alto risco
confusão mental leve nas pernas há 2 dias,baixo risco
Apresentei moderada inquietação junto com tontura na garganta,alto risco
Tenho crônica dor abdominal nas mãos há 2 dias,alto risco
Tenho intensa febre nas pernas durante o repouso,alto risco
dor no peito intensa na coluna há uma semana,alto risco
Tenho contínua febre nos pés há 2 dias,alto risco
Sinto inquietação junto com dor no peito nos olhos ao levantar,baixo risco
Tenho persistente dor no peito na coluna ao acordar,baixo risco
formigamento moderada nas costas durante a noite,alto risco
Apresentei leve confusão mental associada a formigamento nas mãos,baixo risco
Apresentei forte fraqueza e rigidez muscular nas mãos,baixo risco
Tenho crônica fraqueza nas pernas ao acordar,baixo risco
Sinto tosse junto com coceira nos pés após comer,alto risco
Apresentei leve cansaço seguida de perda de visão no peito,baixo risco
Sensação de suor excessivo persistente ao levantar,baixo risco
Tenho repentina fraqueza no peito ao levantar,alto risco
Tenho intermitente dor no peito nos braços há 2 dias,alto risco
Apresentei intensa rigidez muscular junto com dor de cabeça nas pernas,baixo risco
Sensação de suor excessivo aguda há uma semana,baixo risco
inchaço contínua nos olhos durante a noite,baixo risco
Sinto falta de ar junto com tontura na cabeça após comer,alto risco
Sinto aperto associada a desconforto na garganta há 2 dias,alto risco
dor no peito repentina nas costas há uma semana,alto risco
Tenho intermitente dor nos olhos de manhã,alto risco
Sensação de cansaço crônica há 2 dias,baixo risco
Sinto febre seguida de coceira nas pernas ao levantar,baixo risco
Apresentei forte perda de equilíbrio junto com dor de cabeça nas costas,baixo risco
Sinto suor excessivo e febre nos pés ao acordar,baixo risco
tosse moderada na coluna durante a noite,baixo risco
Apresentei contínua falta de ar e confusão mental nos olhos,alto risco
Tenho persistente rigidez muscular nos olhos após esforço,baixo risco
Apresentei forte desconforto associada a dor de cabeça na lombar,alto risco
Sinto perda de equilíbrio e coceira nos pés após comer,baixo risco
Apresentei intensa dor abdominal e rigidez muscular no abdômen,baixo risco
Sensação de dor no peito intermitente durante o repouso,alto risco
Sensação de náusea forte ao acordar,alto risco
Tenho aguda desconforto no peito há uma semana,baixo risco
Tenho aguda febre nos pés após esforço,alto risco
confusão mental aguda no peito ao levantar,baixo risco
Sensação de dor leve ao levantar,alto risco
Sinto coceira e cansaço na cabeça há 2 dias,alto risco
Sinto desconforto associada a dor no peito nas mãos durante o repouso,baixo risco
Apresentei leve aperto com inquietação no peito,baixo risco
Apresentei repentina coceira associada a coceira nos olhos,baixo risco
perda de equilíbrio repentina nas costas há 2 dias,baixo risco
Apresentei leve inchaço junto com perda de equilíbrio nos braços,baixo risco
Sensação de inchaço intensa durante o repouso,baixo risco
Tenho intensa formigamento nos olhos ao acordar,alto risco
Sensação de confusão mental leve durante o repouso,baixo risco
Apresentei aguda inquietação e dor no peito na coluna,baixo risco
Sensação de tosse crônica durante o repouso,alto risco
Sinto inchaço associada a falta de ar na cabeça durante a noite,baixo risco
Tenho intermitente náusea na garganta ao levantar,alto risco
dor de cabeça intermitente nos braços ao acordar,alto risco
Tenho moderada desconforto nas mãos ao acordar,baixo risco
Sinto formigamento seguida de suor excessivo no peito durante a noite,baixo risco
Apresentei repentina perda de equilíbrio e tosse na cabeça,baixo risco
Sinto confusão mental com desconforto nas mãos ao levantar,alto risco
Tenho repentina dor abdominal no peito há 2 dias,baixo risco
Tenho leve perda de equilíbrio na cabeça após comer,alto risco
Sensação de falta de ar repentina de manhã,alto risco
Apresentei leve calafrio associada a dor na cabeça,baixo risco
Apresentei aguda calafrio seguida de coceira na garganta,alto risco
Sensação de perda de equilíbrio crônica ao acordar,alto risco
Sensação de inchaço persistente ao levantar,baixo risco
Tenho repentina dor nas pernas após comer,baixo risco
Tenho contínua dor no peito nos pés há uma semana,baixo risco
Sinto desconforto junto com perda de equilíbrio na lombar durante a noite,baixo risco
Sinto tosse e falta de ar nos olhos após esforço,alto risco
perda de visão crônica nas pernas de manhã,baixo risco
Tenho forte suor excessivo na garganta ao levantar,baixo risco
coceira repentina nos pés há uma semana,baixo risco
Apresentei crônica tosse com aperto nas mãos,baixo risco
inchaço intermitente na cabeça de manhã,alto risco
Apresentei intensa aperto com coceira na coluna,alto risco
palpitação contínua nos braços à noite,baixo risco
Apresentei intensa inchaço junto com tontura no peito,baixo risco
palpitação repentina nas pernas durante a noite,alto risco
Sinto desconforto associada a febre nos pés há uma semana,alto risco
Apresentei persistente formigamento com fraqueza na lombar,baixo risco
falta de ar moderada no abdômen à noite,baixo risco
Apresentei moderada suor excessivo seguida de perda de visão nos olhos,baixo risco
dor no peito intermitente na lombar há uma semana,baixo risco
Apresentei intensa aperto e confusão mental nos olhos,alto risco
Tenho crônica dor no peito nos braços após comer,baixo risco
Apresentei moderada tontura junto com tontura na lombar,baixo risco
tontura contínua na garganta após esforço,alto risco
Apresentei intensa tontura seguida de rigidez muscular na lombar,baixo risco
Apresentei intensa desconforto junto com tontura no peito,baixo risco
falta de ar leve nas pernas há 2 dias,baixo risco
dor no peito leve na garganta após comer,baixo risco
Sinto dor abdominal seguida de dor abdominal nas costas há uma semana,baixo risco
Sinto coceira associada a perda de visão nas mãos ao levantar,alto risco
Tenho intermitente calafrio no peito de manhã,alto risco
Tenho repentina calafrio no peito durante a noite,alto risco
Sensação de aperto intermitente há uma semana,baixo risco
Sinto desconforto e tontura nos pés após comer,alto risco
Tenho intermitente coceira nas costas há 2 dias,alto risco
Tenho aguda febre nas mãos há uma semana,alto risco
Apresentei moderada dor no peito com dor de cabeça nos braços,baixo risco
Tenho intermitente inchaço nos pés há 2 dias,alto risco
Tenho contínua náusea nas pernas há 2 dias,alto risco
febre crônica na garganta durante a noite,baixo risco
náusea contínua no peito de manhã,baixo risco
Sensação de confusão mental repentina ao levantar,baixo risco
Tenho intermitente palpitação nos olhos após comer,baixo risco
Sensação de febre leve ao acordar,alto risco
Tenho persistente suor excessivo nos olhos de manhã,baixo risco
perda de equilíbrio forte nas mãos durante a noite,alto risco
Tenho forte febre na cabeça à noite,baixo risco
Tenho forte inchaço na coluna de manhã,baixo risco
Sinto inquietação junto com perda de visão nos braços há uma semana,baixo risco
Sinto febre junto com inchaço nas pernas há uma semana,alto risco
Apresentei intermitente dor junto com suor excessivo no abdômen,alto risco
Tenho contínua perda de equilíbrio no peito após esforço,alto risco
Tenho moderada palpitação no abdômen após esforço,alto risco
Apresentei intermitente dor associada a náusea nas pernas,alto risco
tontura repentina na cabeça após comer,alto risco
Apresentei forte inchaço associada a inchaço na garganta,alto risco
Tenho intermitente náusea nas mãos após comer,alto risco
Tenho moderada febre nos olhos à noite,baixo risco
formigamento intermitente nos pés durante a noite,alto risco
Apresentei contínua aperto seguida de inchaço nos braços,alto risco
Apresentei intermitente coceira seguida de rigidez muscular nos olhos,alto risco
Apresentei crônica formigamento associada a aperto nos pés,alto risco
dor intensa nos pés ao levantar,baixo risco
Sinto rigidez muscular junto com tosse no peito ao acordar,alto risco
confusão mental forte nas mãos à noite,alto risco
Sinto rigidez muscular e dor de cabeça nas costas ao levantar,baixo risco
Sensação de calafrio crônica há uma semana,alto risco
calafrio intermitente nos braços ao acordar,baixo risco
Sinto tontura junto com formigamento na cabeça durante a noite,alto risco
Apresentei intermitente inchaço junto com dor abdominal nas mãos,alto risco
Apresentei forte dor abdominal associada a confusão mental nas pernas,baixo risco
Sinto dor no peito e rigidez muscular nas mãos ao levantar,alto risco
Tenho repentina formigamento no abdômen de manhã,baixo risco
Tenho crônica calafrio na coluna após esforço,baixo risco
Sinto suor excessivo seguida de dor de cabeça nas mãos de manhã,baixo risco
Apresentei intermitente dor e inchaço na garganta,alto risco
Apresentei contínua aperto associada a confusão mental na garganta,baixo risco
Apresentei persistente aperto associada a perda de equilíbrio nas pernas,alto risco
Apresentei crônica falta de ar e perda de equilíbrio na lombar,alto risco
Sinto coceira com dor no peito nas mãos ao levantar,baixo risco
Tenho repentina dor de cabeça nos pés ao levantar,baixo risco
Sinto náusea e coceira nas costas durante o repouso,baixo risco
falta de ar repentina na garganta à noite,alto risco
Sensação de palpitação forte ao acordar,alto risco
Tenho persistente perda de equilíbrio nas pernas à noite,alto risco
Sensação de febre contínua de manhã,alto risco
confusão mental repentina na garganta ao levantar,baixo risco
Sinto inquietação com dor de cabeça no peito ao acordar,baixo risco
desconforto aguda na lombar durante a noite,alto risco
Sensação de suor excessivo intermitente ao levantar,baixo risco
Apresentei repentina dor de cabeça junto com desconforto nos pés,alto risco
Sensação de dor abdominal forte à noite,alto risco
aperto intensa nas costas de manhã,alto risco
calafrio repentina nos braços após comer,baixo risco
Tenho repentina inquietação nos pés após comer,baixo risco
Tenho aguda tosse na garganta de manhã,alto risco
rigidez muscular leve na lombar há 2 dias,alto risco
Tenho intensa náusea na coluna há uma semana,alto risco
Apresentei persistente inquietação e formigamento nos olhos,baixo risco
Sinto coceira e cansaço na coluna ao acordar,alto risco
Apresentei aguda dor abdominal com náusea na garganta,baixo risco
dor forte nas pernas há uma semana,alto risco
Sinto perda de equilíbrio junto com coceira na cabeça durante a noite,baixo risco
Sinto náusea associada a confusão mental no abdômen de manhã,alto risco
Sinto dor abdominal seguida de perda de equilíbrio nos pés ao levantar,baixo risco
Tenho moderada suor excessivo no abdômen durante a noite,baixo risco
Tenho persistente inchaço nos braços durante o repouso,alto risco
Sinto rigidez muscular e palpitação na lombar ao levantar,baixo risco
falta de ar intermitente nos pés após comer,baixo risco
Apresentei aguda náusea junto com inchaço na garganta,alto risco
dor intensa nos olhos durante o repouso,alto risco
Sensação de tosse intensa após comer,alto risco
Tenho aguda tosse nos pés há 2 dias,baixo risco
confusão mental aguda no abdômen há 2 dias,alto risco
Sinto náusea e rigidez muscular nas pernas há uma semana,alto risco
Tenho crônica formigamento no peito durante a noite,alto risco
Tenho intensa dor no peito nos pés durante o repouso,alto risco
Tenho intermitente náusea no peito durante o repouso,alto risco
Sinto inchaço e aperto nos braços após esforço,alto risco
Sinto formigamento seguida de perda de visão no peito durante o repouso,alto risco
febre aguda no peito durante o repouso,baixo risco
Sinto suor excessivo com suor excessivo nas costas durante o repouso,baixo risco
Sinto febre associada a tosse na coluna há uma semana,baixo risco
Sensação de cansaço intermitente durante o repouso,baixo risco
cansaço contínua nas mãos após esforço,baixo risco
Sinto calafrio e formigamento no peito após comer,baixo risco
Tenho leve aperto nas pernas ao acordar,baixo risco
Sinto desconforto junto com dor no peito nos pés após comer,baixo risco
coceira crônica nos braços durante o repouso,alto risco
Tenho leve coceira na garganta de manhã,alto risco
Tenho persistente formigamento nos braços após comer,baixo risco
Apresentei aguda palpitação associada a fraqueza nas mãos,alto risco
palpitação crônica na garganta há 2 dias,baixo risco
Sinto calafrio seguida de tontura na coluna após esforço,baixo risco
dor de cabeça forte na garganta ao levantar,baixo risco
Apresentei forte suor excessivo e dor no peito na lombar,alto risco
aperto persistente nas mãos de manhã,baixo risco
Sensação de dor no peito forte ao levantar,alto risco
Sinto tosse junto com dor de cabeça nas mãos durante o repouso,alto risco
falta de ar contínua no peito à noite,baixo risco
formigamento contínua no abdômen à noite,alto risco
Apresentei contínua cansaço seguida de falta de ar nas mãos,baixo risco
Tenho moderada calafrio nos braços ao levantar,alto risco
Sensação de inquietação moderada há uma semana,alto risco
Sinto aperto junto com perda de visão na cabeça de manhã,baixo risco
Sensação de tontura crônica ao levantar,alto risco
Sinto dor de cabeça associada a coceira nos olhos após esforço,baixo risco
Sinto inquietação seguida de dor abdominal no peito à noite,alto risco
Tenho forte formigamento nas mãos após comer,alto risco
Sinto formigamento e rigidez muscular na cabeça de manhã,alto risco
rigidez muscular moderada na coluna há uma semana,alto risco
Sensação de desconforto repentina durante o repouso,alto risco
Sensação de coceira forte durante o repouso,alto risco
Sensação de fraqueza intermitente durante a noite,alto risco
Tenho crônica formigamento na cabeça de manhã,baixo risco
Apresentei crônica perda de equilíbrio com formigamento nas pernas,alto risco
Sinto perda de equilíbrio com fraqueza na lombar há 2 dias,alto risco
náusea intermitente no abdômen há 2 dias,baixo risco
palpitação moderada nas costas à noite,baixo risco
coceira moderada na garganta após comer,baixo risco
Sensação de confusão mental intermitente ao acordar,baixo risco
perda de visão crônica no peito após comer,baixo risco
formigamento aguda no abdômen de manhã,alto risco
tosse intermitente na coluna há 2 dias,baixo risco
perda de equilíbrio contínua nos olhos durante a noite,alto risco
Sinto falta de ar e falta de ar nos olhos de manhã,baixo risco
Tenho leve febre nas costas ao acordar,baixo risco
Sinto calafrio associada a confusão mental no abdômen durante o repouso,alto risco
Sinto perda de visão e tontura nas pernas durante a noite,baixo risco
Sinto calafrio junto com coceira no abdômen durante a noite,baixo risco
Sinto náusea junto com desconforto nos pés após comer,alto risco
Tenho repentina dor no peito no peito há 2 dias,baixo risco
Apresentei intermitente perda de equilíbrio junto com fraqueza na coluna,alto risco
Sinto tontura associada a tosse na garganta há uma semana,baixo risco
Sinto confusão mental e suor excessivo nos olhos durante a noite,baixo risco
suor excessivo intermitente nos pés ao levantar,baixo risco
Apresentei moderada palpitação com náusea nas mãos,baixo risco
Tenho contínua suor excessivo no peito há uma semana,baixo risco
Sinto dor no peito e formigamento na lombar durante a noite,alto risco
Sensação de falta de ar forte ao levantar,baixo risco
Sinto dor no peito associada a dor nas costas após esforço,alto risco
Sensação de dor no peito contínua após esforço,baixo risco
Tenho aguda fraqueza nas costas há uma semana,baixo risco
Apresentei aguda palpitação e inchaço na coluna,baixo risco
Apresentei moderada suor excessivo associada a confusão mental nas costas,baixo risco
desconforto aguda nos pés de manhã,alto risco
Tenho persistente falta de ar nas pernas de manhã,alto risco
Apresentei moderada dor abdominal junto com perda de equilíbrio nas costas,baixo risco
tosse contínua nas pernas durante o repouso,alto risco
Sensação de perda de visão leve durante a noite,alto risco
Apresentei leve fraqueza associada a dor no peito no peito,baixo risco
Apresentei aguda aperto com calafrio nos pés,baixo risco
Apresentei leve suor excessivo e calafrio na lombar,alto risco
Sinto inquietação e dor no peito nos pés à noite,alto risco
Sensação de confusão mental contínua de manhã,baixo risco
inquietação forte no abdômen após comer,alto risco
tosse moderada na coluna após comer,baixo risco
Sensação de formigamento moderada ao acordar,alto risco
Tenho intermitente inchaço nos olhos há 2 dias,alto risco
Sinto calafrio e fraqueza nas pernas após comer,baixo risco
Apresentei persistente calafrio junto com perda de visão nos olhos,baixo risco
confusão mental moderada nas mãos há uma semana,baixo risco
Apresentei forte inchaço e dor de cabeça nas pernas,alto risco
Sinto dor no peito junto com confusão mental no peito após comer,alto risco
Tenho forte palpitação na garganta após comer,alto risco
dor contínua nos olhos durante a noite,baixo risco
Sensação de perda de visão aguda ao acordar,baixo risco
Sensação de dor no peito forte ao acordar,alto risco
fraqueza aguda no peito após esforço,alto risco
Tenho leve cansaço nos braços após esforço,alto risco
Tenho repentina cansaço nas costas durante a noite,alto risco
Apresentei crônica dor abdominal junto com náusea nas pernas,baixo risco
Tenho intermitente falta de ar nos braços durante a noite,baixo risco
Apresentei intermitente tosse associada a inquietação no abdômen,baixo risco
Tenho intensa inquietação nas pernas ao levantar,baixo risco
Tenho forte tosse nas mãos durante a noite,alto risco
Sinto coceira e palpitação no abdômen de manhã,baixo risco
Tenho aguda desconforto na lombar há 2 dias,alto risco
palpitação repentina nos braços à noite,baixo risco
Sensação de febre leve após comer,baixo risco
Tenho repentina aperto no abdômen de manhã,baixo risco
Sinto falta de ar e inchaço nas pernas há 2 dias,baixo risco
Apresentei aguda cansaço seguida de perda de equilíbrio no peito,baixo risco
Sinto calafrio associada a náusea nos pés após comer,alto risco
Sensação de cansaço intensa ao acordar,alto risco
Tenho forte dor de cabeça nas mãos ao levantar,alto risco
Sinto rigidez muscular seguida de dor no peito nos olhos de manhã,baixo risco
Sinto dor associada a dor nas pernas há 2 dias,baixo risco
Apresentei persistente formigamento seguida de dor de cabeça na garganta,baixo risco
Tenho contínua dor no peito no peito ao acordar,baixo risco
Sinto suor excessivo junto com perda de equilíbrio nos pés ao levantar,baixo risco
perda de visão forte na garganta após esforço,alto risco
Apresentei aguda falta de ar associada a suor excessivo no abdômen,baixo risco
Apresentei aguda tosse com perda de equilíbrio na lombar,alto risco
Sinto fraqueza seguida de confusão mental no peito após comer,alto risco
Sinto dor seguida de fraqueza na garganta após comer,alto risco
Sinto dor de cabeça associada a inquietação nos braços após esforço,alto risco
Sensação de confusão mental contínua durante a noite,alto risco
Sinto tosse seguida de tosse nos olhos de manhã,baixo risco
falta de ar leve na coluna à noite,baixo risco
Sensação de náusea crônica há uma semana,alto risco
Apresentei leve coceira associada a confusão mental no abdômen,baixo risco
Apresentei persistente dor associada a dor na lombar,alto risco
aperto persistente na garganta ao levantar,baixo risco
Tenho contínua palpitação no peito ao levantar,alto risco
Sinto tontura seguida de falta de ar nos pés há 2 dias,alto risco
Tenho leve tosse na coluna ao acordar,alto risco
Sensação de tontura moderada durante a noite,baixo risco
Tenho persistente cansaço nas pernas há uma semana,alto risco
dor no peito aguda na coluna ao acordar,baixo risco
Sensação de inquietação leve após esforço,alto risco
Sensação de fraqueza repentina de manhã,baixo risco
Sinto febre com fraqueza na garganta ao acordar,alto risco
desconforto leve nas mãos ao acordar,alto risco
Apresentei persistente perda de visão com tontura nos olhos,alto risco
Apresentei intermitente dor abdominal associada a desconforto nos olhos,alto risco
Sinto cansaço seguida de inchaço nos olhos ao acordar,alto risco
Tenho intensa perda de equilíbrio na cabeça durante o repouso,alto risco
Tenho crônica coceira nas mãos durante a noite,alto risco
náusea moderada na cabeça ao levantar,baixo risco
Apresentei forte tosse associada a dor na lombar,baixo risco
Apresentei forte náusea junto com dor no abdômen,baixo risco
Apresentei forte coceira associada a perda de equilíbrio nas costas,alto risco
Tenho moderada febre na cabeça após comer,alto risco
Apresentei leve tosse junto com suor excessivo nos olhos,baixo risco
Sinto calafrio seguida de dor de cabeça nas mãos ao levantar,baixo risco
Tenho intermitente suor excessivo no peito após esforço,alto risco
Sinto suor excessivo seguida de dor de cabeça nas pernas há uma semana,alto risco
Sensação de palpitação leve ao levantar,baixo risco
Apresentei aguda tosse com rigidez muscular no peito,alto risco
Apresentei intermitente perda de equilíbrio com cansaço nas costas,alto risco
Apresentei repentina febre junto com perda de visão nos pés,alto risco
Apresentei contínua rigidez muscular seguida de inquietação nos braços,alto risco
Sinto dor junto com dor nas costas após esforço,alto risco
inquietação persistente nas mãos após esforço,baixo risco
Apresentei forte tosse e suor excessivo nos olhos,alto risco
Tenho repentina dor no peito durante a noite,baixo risco
inquietação moderada nos olhos durante a noite,baixo risco
desconforto forte nas mãos há uma semana,baixo risco
Tenho leve aperto nos olhos durante a noite,alto risco
Tenho moderada perda de equilíbrio na garganta após esforço,baixo risco
Sinto palpitação seguida de dor no peito nos braços após comer,baixo risco
Sensação de desconforto repentina ao levantar,alto risco
Sensação de coceira forte durante a noite,baixo risco
Sinto palpitação com confusão mental na cabeça após comer,baixo risco
Apresentei leve suor excessivo junto com febre na cabeça,baixo risco
Tenho intermitente fraqueza na cabeça durante a noite,baixo risco
Sinto aperto com rigidez muscular nos braços durante a noite,baixo risco
Apresentei forte dor no peito seguida de calafrio no peito,alto risco
Tenho forte coceira nas pernas ao acordar,alto risco
Sinto fraqueza com aperto na cabeça à noite,alto risco
Apresentei intensa inquietação junto com tontura no peito,alto risco
Apresentei crônica dor de cabeça e palpitação nas costas,baixo risco
Tenho repentina perda de visão no abdômen após esforço,alto risco
formigamento aguda nos braços ao acordar,baixo risco
calafrio repentina nos olhos à noite,alto risco
perda de equilíbrio forte nos braços há uma semana,alto risco
Sinto dor e coceira no peito ao acordar,baixo risco
Sensação de coceira aguda após comer,baixo risco
Sinto cansaço junto com cansaço na lombar ao levantar,baixo risco
Apresentei intensa coceira associada a confusão mental no peito,alto risco
cansaço leve nas costas há uma semana,baixo risco
tontura intermitente na lombar há 2 dias,alto risco
Sinto confusão mental associada a perda de equilíbrio nos braços após comer,alto risco
Apresentei intensa calafrio seguida de palpitação no abdômen,alto risco
Tenho intermitente dor na coluna à noite,alto risco
formigamento leve no abdômen após esforço,baixo risco
Tenho contínua inchaço nas costas após esforço,baixo risco
Apresentei persistente dor com confusão mental no abdômen,baixo risco
Apresentei persistente dor no peito e falta de ar nas costas,baixo risco
Apresentei intermitente náusea com coceira nos pés,alto risco
Sinto falta de ar seguida de palpitação na garganta há 2 dias,alto risco
suor excessivo moderada na cabeça ao levantar,baixo risco
Sensação de calafrio contínua de manhã,baixo risco
